Sint Maarten (Dutch part),35873.05649
Seychelles,13250.45583
Syrian Arab Republic,
Turks and Caicos Islands,24917.59581
Chad,716.8043811
East Asia & Pacific (IDA & IBRD countries),10065.03475
Europe & Central Asia (IDA & IBRD countries),11342.49186
Togo,942.6499016
Thailand,6909.956285
Tajikistan,1054.189484
Turkmenistan,8792.548504
Latin America & the Caribbean (IDA & IBRD countries),9324.959304
Timor-Leste,2389.295875
Middle East & North Africa (IDA & IBRD countries),4001.122645
Tonga,
South Asia (IDA & IBRD),2287.416124
Sub-Saharan Africa (IDA & IBRD countries),1701.245382
Trinidad and Tobago,19629.46534
Tunisia,3747.419391
Turkiye,10674.50417
Tuvalu,5221.532799
Tanzania,1192.766479
Uganda,964.3958695
Ukraine,4533.975586
Upper middle income,10814.27758
Uruguay,20795.04235
United States,76329.58227
Uzbekistan,2255.151155
St. Vincent and the Grenadines,9125.324771
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,4163.514299
Vanuatu,3231.3513
World,12687.74189
Samoa,3745.560367
Kosovo,5340.268798
"Yemen, Rep.",650.2722184
South Africa,6766.481254
Zambia,1456.90157
Zimbabwe,1676.821489
